"database","table","rowCount","status"
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database-2022.mdb","ClassBooks",,"count_error: Exception calling ""ExecuteScalar"" with ""0"" argument(s): ""ERROR [42000] [Microsoft][ODBC Microsoft Access Driver] Record(s) cannot be read; no read permission on 'ClassBooks'."""
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database-2022.mdb","Company Table",,"count_error: Exception calling ""ExecuteScalar"" with ""0"" argument(s): ""ERROR [42000] [Microsoft][ODBC Microsoft Access Driver] Record(s) cannot be read; no read permission on 'Company Table'."""
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database-2022.mdb","Consulting Payment",,"count_error: Exception calling ""ExecuteScalar"" with ""0"" argument(s): ""ERROR [42000] [Microsoft][ODBC Microsoft Access Driver] Record(s) cannot be read; no read permission on 'Consulting Payment'."""
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database-2022.mdb","Consulting Projects",,"count_error: Exception calling ""ExecuteScalar"" with ""0"" argument(s): ""ERROR [42000] [Microsoft][ODBC Microsoft Access Driver] Record(s) cannot be read; no read permission on 'Consulting Projects'."""
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database-2022.mdb","Corporate Training Payments",,"count_error: Exception calling ""ExecuteScalar"" with ""0"" argument(s): ""ERROR [42000] [Microsoft][ODBC Microsoft Access Driver] Record(s) cannot be read; no read permission on 'Corporate Training Payments'."""
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database-2022.mdb","Corporate Training Table",,"count_error: Exception calling ""ExecuteScalar"" with ""0"" argument(s): ""ERROR [42000] [Microsoft][ODBC Microsoft Access Driver] Record(s) cannot be read; no read permission on 'Corporate Training Table'."""
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database-2022.mdb","CorporateTrainingExpenses",,"count_error: Exception calling ""ExecuteScalar"" with ""0"" argument(s): ""ERROR [42000] [Microsoft][ODBC Microsoft Access Driver] Record(s) cannot be read; no read permission on 'CorporateTrainingExpenses'."""
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database-2022.mdb","Correspondence with Students","521","ok"
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database-2022.mdb","Counselor Table",,"count_error: Exception calling ""ExecuteScalar"" with ""0"" argument(s): ""ERROR [42000] [Microsoft][ODBC Microsoft Access Driver] Record(s) cannot be read; no read permission on 'Counselor Table'."""
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database-2022.mdb","CourseBooks",,"count_error: Exception calling ""ExecuteScalar"" with ""0"" argument(s): ""ERROR [42000] [Microsoft][ODBC Microsoft Access Driver] Record(s) cannot be read; no read permission on 'CourseBooks'."""
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database-2022.mdb","CourseEquipment",,"count_error: Exception calling ""ExecuteScalar"" with ""0"" argument(s): ""ERROR [42000] [Microsoft][ODBC Microsoft Access Driver] Record(s) cannot be read; no read permission on 'CourseEquipment'."""
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database-2022.mdb","DateDayText",,"count_error: Exception calling ""ExecuteScalar"" with ""0"" argument(s): ""ERROR [42000] [Microsoft][ODBC Microsoft Access Driver] Record(s) cannot be read; no read permission on 'DateDayText'."""
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database-2022.mdb","Employee Payment Table",,"count_error: Exception calling ""ExecuteScalar"" with ""0"" argument(s): ""ERROR [42000] [Microsoft][ODBC Microsoft Access Driver] Record(s) cannot be read; no read permission on 'Employee Payment Table'."""
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database-2022.mdb","Employee Table",,"count_error: Exception calling ""ExecuteScalar"" with ""0"" argument(s): ""ERROR [42000] [Microsoft][ODBC Microsoft Access Driver] Record(s) cannot be read; no read permission on 'Employee Table'."""
